,0
124,6.561334885191172e-05
125,9.874191891867667e-05
126,0.00011779473425121978
127,0.00011213386460440233
128,8.194415568141267e-05
129,6.49577341391705e-05
130,9.193961159326136e-05
131,7.694371743127704e-05
132,6.444395694416016e-05
133,5.7797093177214265e-05
134,8.32682999316603e-05
135,0.00010872252460103482
136,0.0001610746985534206
137,0.00012397515820339322
138,8.038859232328832e-05
139,6.963638588786125e-05
140,5.538856567000039e-05
141,8.15972889540717e-05
142,0.00010255277447868139
143,7.493302837247029e-05
144,5.232726107351482e-05
145,5.366166806197725e-05
146,5.498511382029392e-05
147,4.498067210079171e-05
148,3.5957025829702616e-05
149,4.283028465579264e-05
150,5.290909393806942e-05
151,8.144764433382079e-05
152,9.335347567684948e-05
153,5.2323499403428286e-05
154,4.964941035723314e-05
155,6.2752646044828e-05
156,4.869475378654897e-05
157,4.961683589499444e-05
158,4.334781624493189e-05
159,3.9066340832505375e-05
160,3.746438233065419e-05
161,4.827075463254005e-05
162,7.044607627904043e-05
163,6.211546860868111e-05
164,6.352268974296749e-05
165,4.0026417991612107e-05
166,3.05023422697559e-05
167,3.978070162702352e-05
168,3.441406079218723e-05
169,3.38756108249072e-05
170,3.6107783671468496e-05
171,2.6034231268567964e-05
172,3.0140101443976164e-05
173,3.199311686330475e-05
174,2.7123438485432416e-05
175,2.994112583110109e-05
176,3.2407733669970185e-05
177,6.280827801674604e-05
178,8.942478598328307e-05
179,0.00013836027937941253
180,0.00015432247892022133
181,0.00019351544324308634
182,0.0001412224373780191
183,9.125616634264588e-05
184,3.821363497991115e-05
185,3.696510975714773e-05
186,8.509580220561475e-05
187,0.0001483522355556488
188,0.0002189763617934659
189,0.00022240175167098641
190,0.000155505258589983
191,7.001053018029779e-05
192,2.7889347620657645e-05
193,4.581793109537102e-05
194,7.283614831976593e-05
195,8.680603059474379e-05
196,6.230527651496232e-05
197,3.5062246752204373e-05
198,2.8176484192954376e-05
199,3.7381141737569124e-05
200,8.198306750273332e-05
201,8.470769535051659e-05
202,4.577064828481525e-05
203,2.5325742171844468e-05
204,4.1165003494825214e-05
205,3.432394441915676e-05
206,3.0251467251218855e-05
207,2.6863424864131957e-05
208,2.9318553060875274e-05
209,3.918588481610641e-05
210,3.6641271435655653e-05
211,2.467110607540235e-05
212,1.7942762497114018e-05
213,2.6162619178649038e-05
214,2.6443922251928598e-05
215,2.45054361585062e-05
216,1.939200774359051e-05
217,1.7429149011150002e-05
218,1.9841572793666273e-05
219,1.9841572793666273e-05
220,1.7704394849715754e-05
221,2.595188925624825e-05
222,2.0724510250147432e-05
223,1.3626466170535423e-05
224,1.8005386664299294e-05
225,1.7181857401737943e-05
226,1.6356851119780913e-05
227,1.4037110304343514e-05
228,1.4289285900304094e-05
229,1.4915729479980655e-05
230,1.660852285567671e-05
231,1.7812641090131365e-05
232,3.068967635044828e-05
233,7.412306149490178e-05
234,0.00010311158985132352
235,9.792593482416123e-05
236,7.602405094075948e-05
237,7.78552275733091e-05
238,6.723115802742541e-05
239,4.6975499571999535e-05
240,4.149211599724367e-05
241,3.63262151950039e-05
242,2.250416946480982e-05
243,1.7846345144789666e-05
244,1.788496956578456e-05
245,2.377142482146155e-05
246,4.8776259063743055e-05
247,3.756860678549856e-05
248,3.792780626099557e-05
249,3.640235081547871e-05
250,4.172049739281647e-05
251,2.775849134195596e-05
252,2.1707688574679196e-05
253,1.1304595318506472e-05
254,1.4736428965989035e-05
255,1.1290570000710431e-05
256,1.199301732413005e-05
257,1.1515401638462208e-05
258,1.2715469893009868e-05
259,1.257798976439517e-05
260,1.7633708921493962e-05
261,2.3895852791611105e-05
262,2.804952600854449e-05
263,3.437659324845299e-05
264,4.222732241032645e-05
265,4.099494981346652e-05
266,4.4257467379793525e-05
267,4.6968605602160096e-05
268,4.2657091398723423e-05
269,3.7790545320603997e-05
270,4.164504207437858e-05
271,4.44242796220351e-05
272,4.1783248889259994e-05
273,3.7843361496925354e-05
274,4.17556002503261e-05
275,5.500016413861886e-05
276,8.231714309658855e-05
277,0.00010426627704873681
278,9.854527888819575e-05
279,8.988691115519032e-05
280,0.00010504215606488287
281,9.12342220544815e-05
282,7.258768891915679e-05
283,7.741637818980962e-05
284,0.00013432004197966307
285,0.00021390710026025772
286,0.0003289677551947534
287,0.0002332534932065755
288,9.865695028565824e-05
289,1.408741172781447e-05
290,7.02497927704826e-05
291,0.00015406010788865387
292,0.00012861161667387933
293,5.824093386763707e-05
294,1.5453757441719063e-05
295,5.2551753469742835e-05
296,9.168863471131772e-05
297,5.097314715385437e-05
298,1.2746508218697272e-05
299,3.800012564170174e-05
300,4.8973211960401386e-05
301,3.996101440861821e-05
302,1.8474882381269708e-05
303,1.3236388440418523e-05
304,4.7638914111303166e-05
305,8.302795322379097e-05
306,7.626682781847194e-05
307,3.5385775845497847e-05
308,1.2344782589934766e-05
309,2.2646558136329986e-05
310,3.0743110983166844e-05
311,2.1108828150318004e-05
312,9.97733513941057e-06
313,2.6110015824087895e-05
314,3.389782796148211e-05
315,2.0732146367663518e-05
316,1.297809103562031e-05
317,1.2194486771477386e-05
318,2.0823401428060606e-05
319,1.965550472959876e-05
320,1.2647355106309988e-05
321,1.2528062143246643e-05
322,2.685522304091137e-05
323,3.892554377671331e-05
324,3.135361475870013e-05
325,1.965200499398634e-05
326,7.63457046559779e-06
327,1.0617655789246783e-05
328,1.0122903404408135e-05
329,8.589528079028241e-06
330,1.169311235571513e-05
331,8.21961566543905e-06
332,9.476905688643456e-06
333,7.724729584879242e-06
334,8.482515113428235e-06
335,1.0374165867688134e-05
336,6.45448790237424e-06
337,8.235463610617444e-06
338,9.561721526551992e-06
339,8.092133612080943e-06
340,9.065421181730926e-06
341,6.85704162606271e-06
342,9.254840733774472e-06
343,9.465869879932143e-06
344,1.2997753401577938e-05
345,1.0477630894456524e-05
346,8.804470780887641e-06
347,9.391798812430352e-06
348,1.6714697267161682e-05
349,2.9480395824066363e-05
350,2.6958980015479028e-05
351,2.7132256946060807e-05
352,1.7160688003059477e-05
353,1.0202918019786011e-05
354,1.2092619726900011e-05
355,3.873838431900367e-05
356,0.00011628681386355311
357,0.0002478787209838629
358,0.0004248969198670238
359,0.00026329600950703025
360,8.671953401062638e-05
361,2.5450288376305252e-05
362,0.0001523315440863371
363,0.00036090787034481764
364,0.00027654608129523695
365,0.0001234189694514498
366,2.551973011577502e-05
367,0.00017882157408166677
368,0.00037390031502582133
369,0.0002329701674170792
370,1.7786072930903174e-05
371,0.00017246966308448464
372,0.00026856473414227366
373,8.72480304678902e-05
374,3.6887620808556676e-05
375,0.00015646606334485114
376,0.00019943102961406112
377,5.535206219065003e-05
378,6.13556185271591e-05
379,0.00015235226601362228
380,8.13217120594345e-05
381,1.785510357876774e-05
382,9.45560896070674e-05
383,5.7727880630409345e-05
384,1.728915776766371e-05
385,6.448515341617167e-05
386,4.028543480671942e-05
387,1.3563109860115219e-05
388,4.064889799337834e-05
389,3.182625732733868e-05
390,1.5590887414873578e-05
391,4.230758349876851e-05
392,2.9421531507978216e-05
393,8.470902685075998e-06
394,3.1779629352968186e-05
395,3.0090202926658094e-05
396,1.1628623724391218e-05
397,3.42562489095144e-05
398,1.9073391740676016e-05
399,1.1154663297929801e-05
400,2.4788794689811766e-05
401,1.0360280612076167e-05
402,1.2201869139971677e-05
403,2.429603409837e-05
404,9.37198637984693e-06
405,1.255665938515449e-05
406,2.390195004409179e-05
407,1.138050174631644e-05
408,1.174125645775348e-05
409,2.9185977837187238e-05
410,2.0938019588356838e-05
411,6.7840101110050455e-06
412,1.5635489035048522e-05
413,1.7316589946858585e-05
414,8.127601176965982e-06
